name,category
Skullclamp,Card advantage|Death trigger|Draw|Hand positive|Leaves battlefield trigger|Pure draw|Repeatable draw|Triggered ability
Skullcrack,Burn|Burn planeswalker|Burn player|Hate|Hate lifegain|Removal|Removal burn|Removal planeswalker|Single target instant/sorcery|Unpreventable damage
Skycloud Expanse,Cycle|Cycle dual land|Cycle land|Cycle ody ally filterland|Cycle ody filterland|Dual land|Filterland|Mana filter
Skymarcher Aspirant,Evasion
Slagstorm,Burn|Burn creature|Burn player|Burn player each|Group slug|Removal|Removal burn|Removal creature|Sweeper
Slate of Ancestry,Burst draw|Card advantage|Creature count matters|Discard outlet|Draw|Wheel|Wheel one sided
Slayers' Stronghold,Cycle|Cycle colorless land|Cycle isd enemy utilityland|Cycle land|Gives haste|Repeatable crime
"Slicer, Hired Muscle",Defector|Delayed triggered ability|Mix and match|Multiplayer|Prevent sacrifice|Triggered ability
Smash to Smithereens,Burn|Burn player|Removal|Removal artifact|Removal destroy|Single target instant/sorcery|Spot removal
Smile at Death,Multiple targets|Power matters|Reanimate|Reanimate creature|Recursion|Recursion creature|Triggered ability
Smite the Deathless,Burn|Burn creature|Removal|Removal burn|Removal creature|Single target instant/sorcery|Spot removal
Smoke,
Smoldering Crater,Card advantage|Cycle|Cycle cycling land|Cycle land|Cycle mono land|Cycle usg 2 cycling land|Draw|Hand neutral|Pure draw
Smoldering Marsh,Cares about basic land|Cycle|Cycle bfz tangoland|Cycle dual land|Cycle land|Cycle tangoland|Dual land|Lands matter|Nonbasic basic land type
Smothering Tithe,Draw hate|Hate|Ramp|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Rhystic|Triggered ability
Snap,Bounce|Removal|Removal bounce|Removal creature|Single target instant/sorcery|Spot removal|Untapper|Untapper land
Snort,Burn|Burn player|Burst draw|Card advantage|Castable from graveyard|Castable from nonhand|Draw|Exile self|Miniwheel|Wheel|Wheel symmetrical
Snow-Covered Mountain,Cycle|Cycle basic snow land|Cycle land|Cycle mono land
Snowfield Sinkhole,Cycle|Cycle dual land|Cycle khm snow tapland|Cycle land|Dual land|Nonbasic basic land type
"Sokenzan, Crucible of Defiance",Cycle|Cycle land|Cycle mono land|Cycle neo legendary land|Multiple bodies|Synergy legendary
Sol Ring,Mana producer|Mana rock|Ramp
Solemn Simulacrum,Card advantage|Draw|Invitational card|Pure draw|Ramp|Tutor|Tutor land|Tutor land basic|Tutor land to battlefield|Tutor to|Tutor to battlefield|Type addition from none
"Solphim, Mayhem Dominus",Cycle|Cycle one dominus|Damage multiplier|Discard outlet|Gains indestructible|Indestructible counter|Keyword counter|Synergy burn
Song-Mad Treachery,Gives haste|Single target instant/sorcery|Theft|Untapper|Untapper creature
Songs of the Damned,Cards in graveyard matter|Interrupt|Ramp|Ritual|Undergrowth
Sorceress's Schemes,Card advantage|Castable from graveyard|Castable from nonhand|Exile self|Hand neutral|Hand positive|Recursion|Recursion from exile|Recursion instant|Recursion sorcery|Regrowth instant|Regrowth sorcery|Single target instant/sorcery|Synergy flashback|Unexile
Sorin Markov,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cycle|Cycle block zen monocolor pw|Cycle m12 planeswalker|Drain creature|Drain life|Eponymous planeswalker|Inverted effects|Lifegain|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Turn control
Sorin of House Markov,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cast trigger|Cast trigger you|Cycle|Cycle mh3 flip walker|Drain life|Exile self|Exile self dfc transform|Gives lifelink|Inverted effects|Keyword counter|Lifegain|Lifegain matters|Lifelink counter|Passive ability|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable artifact tokens|Repeatable food|Repeatable noncreature tokens|Repeatable removal|Repeatable token generator|Synergy white|Theft|Theft creature|Triggered ability
Sorin the Mirthless,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Card advantage|Drain life|Inverted effects|Life for cards|Life payment|Lifegain|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable creature tokens|Repeatable removal|Repeatable token generator|Wannabe dark confidant
"Sorin, Imperious Bloodlord",Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Cost ignorer|Cycle|Cycle m20 planeswalker|Drain creature|Drain life|Gives lifelink|Inverted effects|Lifegain|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Sacrifice outlet|Sacrifice outlet creature|Sneak creature|Triggered ability|Typal creature|Typal vampire
"Sorin, Lord of Innistrad",Lifegain|Multi removal|Multiple targets|Power boost to all|Removal|Removal creature|Removal destroy|Removal planeswalker|Repeatable creature tokens|Repeatable removal|Repeatable token generator|Spot removal|Theft|Theft creature|Theft planeswalker
"Sorin, Solemn Visitor",Abyss|Evasion|Gives lifelink|Lifegain|Multi removal|Power boost to all|Removal|Removal creature|Removal sacrifice|Repeatable creature tokens|Repeatable removal|Repeatable token generator|Spot removal|Triggered ability
"Sorin, Vengeful Bloodlord",Burn|Burn planeswalker|Burn player|Cycle|Cycle war r two color|Gives lifelink|Gives lifelink noncreature|Indefinite effect|Lifegain|Passive ability|Reanimate|Reanimate creature|Recursion|Recursion creature|Removal|Removal burn|Removal planeswalker|Repeatable crime|Repeatable removal|Synergy planeswalker
"Sothera, the Supervoid",Death trigger|Grave pact|Leaves battlefield trigger|Multi removal|Opponent chooses|Removal|Removal creature|Removal exile|Repeatable removal|Sacrifice self|Spot removal|Theft|Theft creature|Triggered ability
Soul Collector,Breaks ktk morph rule|Evasion|Hunger reanimation|Hunger trigger|Reanimate|Reanimate from any|Reanimate from opponent|Recursion|Theft|Triggered ability
Soul Shatter,Mana value matters|Multi removal|Removal|Removal creature|Removal planeswalker|Removal sacrifice|Spot removal
Soul-Scar Mage,Cast trigger|Cast trigger you|Synergy burn|Synergy noncreature|Triggered ability
Soulstone Sanctuary,Animate|Animate self|Becomes changeling|Gains vigilance|Indefinite effect
Spark Jolt,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Library manipulation|Peek|Peek library|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery|Top deck manipulation
Spark Spray,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Card advantage|Draw|Hand neutral|Pure draw|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Spear Spewer,Burn|Burn player|Burn player each|Group slug|Pinger
Species Specialist,Card advantage|Death trigger|Draw|Leaves battlefield trigger|Pure draw|Triggered ability|Typal choose|Typal creature
Spectacular Spider-Man,Evasion|Gives hexproof|Gives indestructible|Jump|Protects creature|Sacrifice self
Spectator Seating,Cycle|Cycle bondland|Cycle cmr bond land|Cycle dual land|Cycle land|Dual land|Multiplayer
Spellshock,Burn|Burn player|Cast trigger|Group slug|Triggered ability
Spellskite,Change target|Repeatable crime
Spider-Punk,Gains haste|Gives haste|Gives uncounterable|Hate|Hate counterspell|Typal creature|Typal spider|Unpreventable damage
Spiked Corridor // Torture Pit,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Damage increaser|Death trigger|Leaves battlefield trigger|Multiple bodies|Removal|Removal burn|Removal creature|Removal planeswalker|Synergy burn|Triggered ability
Spikefield Hazard,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Spinerock Knoll,Cycle|Cycle land|Cycle lrw hideaway land|Cycle mono land|Free cast another|Gives castable from exile|Gives castable from nonhand|Triggered ability
Spiteful Banditry,Burn|Burn creature|Death trigger|Leaves battlefield trigger|Ramp|Removal|Removal burn|Removal creature|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Sweeper|Triggered ability
Spiteful Motives,Combat trick
Spiteful Prankster,Burn|Burn planeswalker|Burn player|Death trigger|Leaves battlefield trigger|Removal|Removal burn|Removal planeswalker|Repeatable removal|Triggered ability
Spiteful Repossession,Burn|Burn player|Catch up|Group slug|Ramp
Spitfire Lagac,Burn|Burn player|Group slug|Landfall|Lands matter|Triggered ability
Split Up,Hate|Hate tapped|Hate untapped|Modal inverse choices|Removal|Removal creature|Removal destroy|Sweeper|Synergy tapped
Springleaf Drum,Mana producer|Mana rock|Ramp|Tap fuel creature|Tap outlet
Stadium Headliner,Attack trigger|Bombard self|Burn|Burn creature|Creature count matters|Delayed triggered ability|Removal|Removal burn|Removal creature|Repeatable creature tokens|Repeatable token generator|Sacrifice self|Spot removal|Synergy attacker self|Triggered ability
Staggershock,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Castable from exile|Castable from nonhand|Delayed triggered ability|Exile self|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery|Triggered ability|Unexile
Star Athlete,Attack trigger|Burn|Burn player|Delayed triggered ability|Evasion|Gains haste|Punisher|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal nonland|Removal planeswalker|Removal sacrifice|Removal spacecraft|Removal vehicle|Repeatable removal|Spot removal|Synergy attacker self|Triggered ability
Starfield Vocalist,Castable from exile|Castable from nonhand|Delayed triggered ability|Exile self|Trigger doubler|Triggered ability|Unexile
Starscape Cleric,Copy|Copy self|Creates token of a card|Evasion|Group slug|Lifegain matters|Lifegain to damage|Multiple bodies|Opponent loses life|Triggered ability
Starseer Mentor,Cycle|Cycle blb draft signpost|Discard|Draft signpost|Evasion|Life loss matters|Lifegain matters|Opponent loses life|Punisher|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal nonland|Removal planeswalker|Removal sacrifice|Removal spacecraft|Removal vehicle|Repeatable crime|Repeatable removal|Spot removal|Torment|Triggered ability
Starstorm,Burn|Burn creature|Card advantage|Draw|Hand neutral|Pure draw|Removal|Removal burn|Removal creature|Sweeper
Starting Town,Life payment|Turns taken matter
Starwinder,Burst draw|Card advantage|Castable from exile|Castable from nonhand|Curiosity|Curiosity like|Delayed triggered ability|Draw|Drawlink|Exile self|Gives drawlink|Pure draw|Repeatable draw|Triggered ability|Unexile
Static Prison,Banish|O ring with set mechanic|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal enchantment|Removal equipment|Removal exile|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Spot removal|Triggered ability
Steam Blast,Burn|Burn creature|Burn player|Burn player each|Group slug|Removal|Removal burn|Removal creature|Sweeper
Stensia Banquet,Burn|Burn planeswalker|Burn player|Burn with set's mechanic|Cantrip|Card advantage|Draw|Hand neutral|Pure draw|Removal|Removal burn|Removal planeswalker|Single target instant/sorcery|Typal creature|Typal vampire
Stensia Masquerade,Castable from exile|Castable from nonhand|Delayed triggered ability|Exile self|Slith ability|Synergy attacker|Triggered ability|Typal creature|Typal vampire|Unexile
Stern Constable,Discard outlet|Repeatable crime|Tapper|Tapper creature
Sticky Fingers,Card advantage|Combat ramp|Death trigger|Draw|Gives evasion|Leaves battlefield trigger|Pure draw|Ramp|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Triggered ability
Stinging Study,Burst draw|Card advantage|Draw|Life for cards|Life payment|Mana value matters|Pure draw|Synergy commander
Stitch Together,Card advantage|Cards in graveyard matter|Hand neutral|Reanimate|Reanimate creature|Recursion|Recursion creature|Regrowth creature|Single target instant/sorcery
Stone Quarry,Cycle|Cycle dual land|Cycle dual tapland|Cycle land|Cycle soi tapland|Dual land
Stone of Erech,Card advantage|Draw|Egg|Hand neutral|Hate|Hate graveyard|Pure draw|Sacrifice self|Sweeper graveyard
Storm-Kiln Artist,Cast trigger|Cast trigger you|Cycle|Cycle stx u mono magecraft|Magecraft|Ramp|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Synergy artifact|Synergy copy|Synergy instant|Synergy sorcery|Triggered ability
Stormshriek Feral,Card advantage|Cycle|Cycle tdm c omen|Discard outlet|Draw|Evasion|Hand neutral|Mana sink|Tuck self
Stormtide Leviathan,Evasion|Mana fix|Prevent attack|Synergy flying|Synergy islandwalk
Stranglehold,Hate|Hate tutor|Prevent extra turns
Streaking Oilgorger,Evasion|Gains lifelink|Life loss matters|Lifegain|Triggered ability
"Strefan, Maurer Progenitor",Attack trigger|Card advantage|Cost ignorer|Discard outlet|Draw|Evasion|Face commander|Gives indestructible|Life loss matters|Repeatable artifact tokens|Repeatable blood|Repeatable noncreature tokens|Repeatable token generator|Sneak creature|Synergy attacker self|Synergy blood|Triggered ability|Typal creature|Typal vampire
Strike It Rich,Castable from graveyard|Castable from nonhand|Exile self|Ramp
Strionic Resonator,Copy|Copy ability
Strip Mine,Removal|Removal destroy|Removal land|Sacrifice self|Spot removal
Striped Riverwinder,Card advantage|Draw|French vanilla|Hand neutral|Pure draw
Strix Serenade,Counterspell|Counterspell artifact|Counterspell creature|Counterspell planeswalker|Single target instant/sorcery
Stroke of Midnight,Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal destroy|Removal enchantment|Removal equipment|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Single target instant/sorcery|Spot removal
Stromkirk Bloodthief,Life loss matters|Triggered ability|Typal creature|Typal vampire
Stromkirk Captain,Anthem|Cycle|Cycle dka draft signpost|Cycle dka monster lord|Draft signpost|Power boost to all|Typal creature|Typal vampire
Stromkirk Condemned,Discard outlet|Power boost to all|Typal creature|Typal vampire
Stromkirk Noble,Evasion|Hate|Hate set mechanic|Hate typal|Hate typal human|Slith ability|Triggered ability|Type addition noble
Stromkirk Occultist,Card advantage|Castable from exile|Castable from nonhand|Curiosity like|Delayed triggered ability|Exile self|Gives castable from exile|Gives castable from nonhand|Impulsive curiosity|Impulsive draw|Repeatable impulsive draw|Triggered ability|Unexile
Stubborn Denial,Counterspell|Counterspell noncreature|Counterspell soft|Counterspell with set mechanic|Power matters|Self replacement effect|Single target instant/sorcery
Stuffy Doll,Burn|Burn player|Pinger|Triggered ability
Sudden Breakthrough,Combat trick|Ramp|Single target instant/sorcery
Sudden Shock,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Cycle|Cycle tsp u split second|Hate|Hate counterspell|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Sudden Spoiling,Cycle|Cycle tsp r split second|Hate|Hate counterspell|Humble|Single target instant/sorcery
Sulfuric Vortex,Burn|Burn player|Group slug|Hate|Hate lifegain|Triggered ability
Sulfurous Blast,Burn|Burn creature|Burn player|Burn player each|Cycle|Cycle tsp addendum|Group slug|Removal|Removal burn|Removal creature|Self replacement effect|Sweeper
Sulfurous Mire,Cycle|Cycle dual land|Cycle khm snow tapland|Cycle land|Dual land|Nonbasic basic land type
Sulfurous Springs,Cycle|Cycle dual land|Cycle ice painland|Cycle land|Cycle painland|Dual land|Life payment|Mana ability with extra effect
Summon: Bahamut,Burn|Burn player|Card advantage|Draw|Evasion|Mana value matters|Pure draw|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal destroy|Removal enchantment|Removal equipment|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Repeatable crime|Repeatable removal|Spot removal|Triggered ability
Summon: G.F. Cerberus,Cast trigger|Cast trigger you|Copy|Copy instant|Copy sorcery|Delayed triggered ability|Library manipulation|Mill|Mill self|Peek|Peek library|Surveil|Synergy instant|Synergy sorcery|Top deck manipulation|Triggered ability
Summon: G.F. Ifrit,Card advantage|Discard outlet|Draw|Hand neutral|Mana producer|Non mana ability mana|Ramp|Triggered ability
Summon: Knights of Round,Class type only|Gives indestructible|Indestructible counter|Keyword counter|Multiple bodies|Power boost to all|Protects creature|Repeatable creature tokens|Repeatable token generator|Triggered ability
Sun Titan,Attack trigger|Cycle|Cycle m11 titan|Mana value matters|Ramp|Reanimate|Reanimate permanent|Recursion|Recursion permanent|Synergy attacker self|Triggered ability
Sunbaked Canyon,Card advantage|Cycle|Cycle dual land|Cycle horizon land|Cycle land|Draw|Dual land|Hand neutral|Life payment|Pure draw|Sacrifice self
Sunbillow Verge,Cycle|Cycle dft verge|Cycle dual land|Cycle land|Cycle verge|Dual land|Synergy mountain|Synergy plains
Sunbird's Invocation,Cast trigger|Cast trigger you|Free cast another|Gives castable from library|Gives castable from nonhand|Impulse cast|Mana value matters|Triggered ability
Sundering Eruption,Cycle|Cycle land|Cycle mh3 mdfc mono land|Cycle mono land|Life payment|Prevent blocker|Prevent blocker mass|Removal|Removal destroy|Removal land|Single target instant/sorcery|Spot removal|Tutor|Tutor land|Tutor land basic|Tutor land to battlefield|Tutor to|Tutor to battlefield
Sundown Pass,Cycle|Cycle dual land|Cycle land|Cycle slowland|Cycle vow slowland|Dual land|Lands matter
"Sunhome, Fortress of the Legion",Cycle|Cycle rav guildhall|Mana sink|Repeatable crime
Sunken Hollow,Cares about basic land|Cycle|Cycle bfz tangoland|Cycle dual land|Cycle land|Cycle tangoland|Dual land|Lands matter|Nonbasic basic land type
Sunken Ruins,Cycle|Cycle dual land|Cycle hybrid filterland|Cycle land|Cycle shm filterland|Dual land|Filterland|Mana filter
Sunlit Marsh,Cycle|Cycle dmu dual land|Cycle dual land|Cycle land|Dual land|Nonbasic basic land type
Sunscorched Desert,Burn|Burn planeswalker|Burn player|Removal|Removal burn|Removal planeswalker|Triggered ability
Sunscorched Divide,Cycle|Cycle dual land|Cycle land|Cycle ody filterland|Cycle pip enemy filterland|Dual land|Filterland|Mana filter
Sunset Strikemaster,Burn|Burn creature|Hate|Hate flying|Mana dork|Mana producer|Ramp|Removal|Removal burn|Removal creature|Sacrifice self|Spot removal
Sunshot Militia,Burn|Burn player|Group slug|Synergy artifact|Tap fuel artifact|Tap fuel creature|Tap outlet
Sunspine Lynx,Burn|Burn player|Burn player each|Group slug|Hate|Hate lifegain|Hate nonbasic land|Triggered ability|Unpreventable damage
Superior Spider-Man,Clone|Copy|Copy creature|Cycle|Cycle spm r two color|Delayed triggered ability|Graveyard fuel|Graveyard fuel creature|Triggered ability
Suplex,Burn|Burn creature|Removal|Removal artifact|Removal burn|Removal creature|Removal exile|Single target instant/sorcery|Spot removal
Supreme Verdict,Cycle|Cycle ima r two color|Cycle rtr uncounterable spell|Hate|Hate counterspell|Removal|Removal creature|Removal destroy|Sweeper
Sure Strike,Combat trick|Single target instant/sorcery
Surveyor's Scope,Catch up|Exile self|Ramp|Tutor|Tutor land|Tutor land basic|Tutor land to battlefield|Tutor to|Tutor to battlefield
Susurian Voidborn,Blood artist ability|Castable from exile|Castable from nonhand|Death trigger|Death trigger self|Delayed triggered ability|Drain life|Exile self|Inverted effects|Leaves battlefield trigger|Lifegain|Opponent loses life|Repeatable crime|Synergy artifact|Triggered ability|Unexile
Swamp,Cycle|Cycle land|Cycle lea basic land|Cycle mono land
Swan Song,Counterspell|Counterspell enchantment|Counterspell instant|Counterspell sorcery|Single target instant/sorcery
Swiftfoot Boots,Gives haste|Gives hexproof|Protects creature
Sword of Feast and Famine,Combat ramp|Cycle|Cycle sword enemy color|Discard|Evasion|Extra untap|Gives evasion|Gives protection|Hate|Hate black|Hate color|Hate green|Ramp|Triggered ability|Untapper|Untapper land
Sword of Fire and Ice,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Card advantage|Curiosity|Curiosity like|Cycle|Cycle sword enemy color|Draw|Evasion|Gives evasion|Gives protection|Hate|Hate blue|Hate color|Hate red|Pure draw|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable draw|Repeatable removal|Triggered ability
Sword of Forge and Frontier,Card advantage|Combat ramp|Curiosity like|Cycle|Cycle sword ally color|Extra land|Gives castable from exile|Gives castable from nonhand|Gives evasion|Gives protection|Hate|Hate color|Hate green|Hate red|Impulsive curiosity|Impulsive draw|Play additional land|Ramp|Repeatable impulsive draw|Triggered ability
Sword of Light and Shadow,Card advantage|Curiosity like|Cycle|Cycle sword enemy color|Evasion|Gives evasion|Gives protection|Hate|Hate black|Hate color|Hate white|Lifegain|Recursion|Recursion creature|Regrowth creature|Triggered ability
Sword of Once and Future,Cycle|Cycle sword ally color|Evasion|Free cast another|Gives castable from graveyard|Gives castable from nonhand|Gives evasion|Gives protection|Hate|Hate black|Hate blue|Hate color|Library manipulation|Mill|Mill self|Peek|Peek library|Recursion|Surveil|Synergy instant|Synergy sorcery|Top deck manipulation|Triggered ability
Sword of Truth and Justice,Cycle|Cycle sword ally color|Gives evasion|Gives protection|Hate|Hate blue|Hate color|Hate white|Triggered ability
Sword of Wealth and Power,Combat ramp|Copy|Copy instant|Copy sorcery|Delayed triggered ability|Gives evasion|Gives protection|Hate|Hate instant|Hate sorcery|Protects creature|Ramp|Repeatable artifact tokens|Repeatable noncreature tokens|Repeatable token generator|Repeatable treasures|Triggered ability|Unique protection
Sword of the Animist,Attack trigger|Combat ramp|Namesake spell|Ramp|Synergy attacker|Triggered ability|Tutor|Tutor land|Tutor land basic|Tutor land to battlefield|Tutor to|Tutor to battlefield
Swords to Plowshares,Bible reference|Lifegain|Opponent lifegain|Removal|Removal creature|Removal exile|Single target instant/sorcery|Spot removal
"Syr Konrad, the Grim",Burn|Burn player|Cycle|Cycle eld syr legend|Death trigger|Discard matters|Group slug|Leaves battlefield trigger|Leaves graveyard trigger|Mana sink|Mill|Mill each|Mill opponent|Mill self|Opponent discard matters|Reanimate matters|Synergy mill|Triggered ability
"Syr Vondam, Sunstar Exemplar",Cycle|Cycle eoe legend after|Cycle eoe r two color|Death trigger|Death trigger self|Evasion|Leaves battlefield trigger|Lifegain|Power matters|Power matters self|Removal|Removal artifact|Removal aura|Removal battle|Removal creature|Removal destroy|Removal enchantment|Removal equipment|Removal nonland|Removal planeswalker|Removal spacecraft|Removal vehicle|Spot removal|Synergy exile|Triggered ability
Tainted Field,Cycle|Cycle dual land|Cycle land|Cycle tor tainted land|Dual land|Synergy swamp
Tainted Indulgence,Card advantage|Cards in graveyard matter|Catalog|Cycle|Cycle snc draft signpost|Cycle snc u signpost nonc|Discard outlet|Draft signpost|Draw|Hand neutral|Hand positive|Loot|Pure draw
Tainted Pact,Card advantage|Hand neutral|Stronger in singleton formats
Tainted Peak,Cycle|Cycle dual land|Cycle land|Cycle tor tainted land|Dual land|Synergy swamp
"Takenuma, Abandoned Mire",Card advantage|Cycle|Cycle land|Cycle mono land|Cycle neo legendary land|Mill|Mill self|Recursion|Recursion creature|Recursion planeswalker|Regrowth creature|Regrowth planeswalker|Synergy legendary
Talisman of Conviction,Cycle|Cycle mh1 talisman|Cycle talisman|Mana ability with extra effect|Mana producer|Mana rock|Ramp
Talisman of Dominance,Cycle|Cycle mrd talisman|Cycle talisman|Mana ability with extra effect|Mana producer|Mana rock|Ramp
Talisman of Hierarchy,Cycle|Cycle mh1 talisman|Cycle talisman|Mana ability with extra effect|Mana producer|Mana rock|Ramp
Talisman of Indulgence,Cycle|Cycle mrd talisman|Cycle talisman|Mana ability with extra effect|Mana producer|Mana rock|Ramp
Talisman of Progress,Cycle|Cycle mrd talisman|Cycle talisman|Mana ability with extra effect|Mana producer|Mana rock|Ramp
Talon Gates of Madara,Cost ignorer|Mana filter|Phasing|Protects creature|Ramp|Sneak self|Triggered ability
Talon of Pain,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Counter fuel charge|Counters matter|Removal|Removal burn|Removal creature|Removal planeswalker|Repeatable crime|Repeatable removal|Synergy burn|Triggered ability
Tangle Wire,Counters matter|Hate|Hate artifact|Tapper|Tapper artifact|Tapper creature|Tapper land|Triggered ability
Tarfire,Burn|Burn any|Burn battle|Burn creature|Burn planeswalker|Burn player|Burn with set's mechanic|Removal|Removal burn|Removal creature|Removal planeswalker|Single target instant/sorcery
Tarrian's Soulcleaver,Death trigger|Hate|Hate artifact|Leaves battlefield trigger|Morbid|Namesake spell|Synergy artifact|Triggered ability
Taste for Mayhem,Hand size matters|Hellbent
Taunt from the Rampart,Combat manipulation|Prevent blocker|Prevent mass blockers|Pseudo fog
Taurean Mauler,Cast trigger|Cast trigger other|Cda subtype|Changeling|Characteristic defining ability|Cycle|Cycle lrw r changeling|Mana gorger|Triggered ability|Typal creature
Tavern Brawler,Card advantage|Cycle|Cycle clb c background|Gives castable from exile|Gives castable from nonhand|Impulsive draw|Mana value matters|Pair commander|Repeatable impulsive draw|Synergy commander|Triggered ability
Tectonic Giant,Attack trigger|Burn|Burn player|Card advantage|Gives castable from exile|Gives castable from nonhand|Group slug|Hate|Hate target|Impulsive draw|Repeatable impulsive draw|Synergy attacker self|Triggered ability
Tectonic Hazard,Burn|Burn creature|Burn player|Group slug|Removal|Removal burn|Removal creature|Sweeper|Sweeper one sided
Teetering Peaks,Cycle|Cycle land|Cycle mono land|Cycle zen utilityland|Triggered ability
Teferi's Ageless Insight,Card advantage|Cycle|Cycle m21 teferi vertical|Draw|Draw matters|Namesake spell|Pure draw|Repeatable draw
Teferi's Protection,Damage prevention|Damage prevention you|Exile on resolution|Exile self|Fog|Fog selective|Gives evasion|Gives protection|Namesake spell|Phasing|Protects creature
Teferi's Puzzle Box,Card advantage|Draw|Namesake spell|Triggered ability|Wheel
"Teferi, Time Raveler",Bounce|Card advantage|Cycle|Cycle war r two color|Draw|Gives flash|Hate|Hate counterspell|Hate instant|Passive ability|Pure draw|Removal|Removal artifact|Removal bounce|Removal creature|Removal enchantment|Repeatable crime|Repeatable draw|Repeatable removal|Spot removal|Synergy sorcery
Temple of Deceit,Cycle|Cycle block ths scry land|Cycle bng scry land|Cycle dual land|Cycle land|Dual land|Library manipulation|Peek|Peek library|Top deck manipulation|Triggered ability
Temple of Malice,Cycle|Cycle block ths scry land|Cycle bng scry land|Cycle dual land|Cycle land|Dual land|Library manipulation|Peek|Peek library|Top deck manipulation|Triggered ability
Temple of Silence,Cycle|Cycle block ths scry land|Cycle dual land|Cycle jou scry land|Cycle land|Dual land|Library manipulation|Peek|Peek library|Top deck manipulation|Triggered ability
Temple of Triumph,Cycle|Cycle block ths scry land|Cycle dual land|Cycle jou scry land|Cycle land|Dual land|Library manipulation|Peek|Peek library|Top deck manipulation|Triggered ability
Temple of the False God,Lands matter|Ramp
Temporal Extortion,Cast trigger|Cast trigger self|Cycle|Cycle plc extortion vertical|Extra turn|Life divider|Opponent loses life|Punisher|Triggered ability
"Tenza, Godo's Maul",Gives trample|Namesake spell|Synergy legendary|Synergy red
Terminate,Cycle|Cycle 2x2 draft signpost|Cycle mm3 draft signpost|Cycle pls c two color|Draft signpost|Removal|Removal creature|Removal destroy|Single target instant/sorcery|Spot removal
Terrain Generator,Cares about basic land|Cost ignorer|Extra land|Ramp|Sneak land
Terramorphic Expanse,Fetchland|Manaless land|Sacrifice self|Tutor|Tutor land|Tutor land basic|Tutor land to battlefield|Tutor to|Tutor to battlefield
Teysa Karlov,Cycle|Cycle block grn guild champion|Cycle cmm r two color legend|Cycle rna guild champion|Death trigger|Gives lifelink|Leaves battlefield trigger|Lifegain|Synergy token|Synergy token creature|Trigger doubler|Triggered ability
"Teysa, Orzhov Scion",Cycle|Cycle block rav colors matter|Cycle block rav guild champion|Cycle rvr r two color legend|Death trigger|Evasion|Free sacrifice outlet|Leaves battlefield trigger|Removal|Removal creature|Removal exile|Repeatable creature tokens|Repeatable crime|Repeatable removal|Repeatable token generator|Sacrifice outlet|Sacrifice outlet creature|Spot removal|Synergy black|Synergy white|Triggered ability
"Tezzeret, Cruel Captain",Animate|Animate artifact|Artifactfall|Mana value matters|Passive ability|Synergy artifact|Synergy artifact creature|Triggered ability|Tutor|Tutor artifact|Tutor to|Tutor to hand|Untapper|Untapper artifact|Untapper creature
